overall,price,name,power,control,rebound,omgang,sweetspot
84,135,Hack 03 Comfort,85,74,97,81,81
84,,Vertex 04 Woman 2025 Delfi Brea,75,76,95,87,86
84,159,XPLO Comfort,79,83,90,78,89
84,,Bronco,68,91,85,83,91
84,,Canyon Pro Attack 1.0,95,89,83,74,81
84,210,Explorer Pro 4.0,80,89,75,84,91
84,120,Legend 3.0,75,89,79,84,92
84,199,X-Bass,79,87,89,80,84
84,,Aero Star Pro,95,84,80,81,79
84,109,Galactica Lite,67,89,85,90,89
84,140,Galactica Pro,79,88,76,86,90
84,90,Aerox 7.2 Carbon Reloaded,74,84,86,84,90
84,143,Aerox Pro Carbon,82,87,84,84,84
84,295,Mustang 12K,84,81,86,85,86
84,,Response Woman,79,82,94,79,85
84,,Spitfire,86,87,84,82,80
84,,Supra Carbon,79,84,86,84,86
84,168,Extreme One,90,91,75,90,75
84,90,Graphene 360 Gamma Motion,73,86,87,89,85
84,143,Graphene 360 Gamma Pro,80,87,83,86,86
84,120,Gravity Pro,75,96,85,86,80
84,,Speed Motion,73,84,88,91,86
84,,Pro Slam 2.0 Gris-Negro,89,91,86,75,79
84,,Pro Slam 2.0 Negro-Turquesa,91,90,87,73,81
84,,Slam Pro,88,90,85,74,82
84,,Future Control 12K Alum,85,86,75,89,85
84,190,LA10 Quantum 12K 2025 Leo Augsburger,96,84,82,81,76
84,109,MJ10 Luxury,74,79,94,86,89
84,245,Nerbo World Padel Tour,85,86,83,81,85
84,190,TL10 Quantum 12K  2025 Tino Libaak,84,95,78,85,78
84,190,VK10 Luxury,76,85,86,88,85
84,90,Joker Roja 3K,80,79,97,82,80
84,199,Hyper Match 2.0,73,85,89,81,90
84,299,Hyper Pro 2.0,84,86,80,81,91
84,,Hyper Pro Plus 2.0,86,83,80,80,89
84,220,Sense Tour,72,86,84,85,94
84,,Ultimate Pro Light,88,88,80,80,86
84,,Solar Attack CTR,71,83,89,86,90
84,175,RP 32 Aniversario Polietileno,74,92,83,83,87
84,,RP 32 Aniversario Woman,85,90,76,84,84
84,,RP 790 Whip EVA,81,95,69,92,85
84,,RP America APT,76,89,84,86,84
84,,RP M27 R-Ace,95,97,70,76,80
84,178,RP M27 R-Fury,85,97,71,86,80
84,,RP790 Whip APT Hybrid,68,91,81,89,89
84,,RP790 Whip,63,87,88,90,91
84,,Diablo Elite 4,74,84,92,85,85
84,,Diablo Granph,78,85,90,81,84
84,,Diablo Mate,79,91,84,78,87
84,128,Electra Lite ST3,84,86,83,90,77
84,101,Electra ST2 Control,76,88,83,89,86
84,149,Fenix 12K,80,82,89,84,86
84,,Fenix II 3K,86,83,83,83,86
84,295,Fenix Pro 4,96,92,74,74,82
84,,Fenix Pro 5,100,91,73,74,81
84,,Pegasus Luxury,75,90,86,86,85
84,,Platinum 24K,78,77,98,84,84
84,120,Raven 18K Control,63,84,96,84,91
84,159,Spyder Revolution 2 Attack,95,89,82,74,80
84,110,Aquila Pro,89,85,81,81,85
84,132,Aquila Pro,91,85,78,80,85
84,130,Aquila Space Pro 2.0,91,83,81,80,86
84,180,Basalto Osiris Soft 2.0,84,83,85,79,91
84,155,Brava Pro,84,85,84,82,86
84,155,Brava Soft,81,79,97,80,85
84,129,Dronos Galaxy,85,86,81,81,89
84,205,Kenta Colours Soft LTD,75,89,83,83,88
84,150,Kenta Speed,76,85,86,83,90
84,,Triton,91,89,82,75,81
84,145,Triton,95,89,82,74,81
84,148,Triton Pro 2.0,98,96,68,77,80
84,175,Triton Pro,100,97,71,74,79
84,280,Triton Pro Touch,95,95,75,75,81
84,,Bourne Prisma Radio,100,90,71,85,73
84,150,Bourne Summum Carbon Black,84,80,82,87,85
84,125,LW Carbon 8 Prisma,69,78,84,91,99
84,,Maxima Prisma Radio,96,89,69,89,79
84,240,Maxima Summum Prisma Airflow W,78,84,84,88,85
84,,Maxima Summum Prisma Radio W,84,86,86,85,81
84,,Maxima Summum Prisma W,79,83,87,85,86
84,350,Black Mamba Radical 12K,79,86,86,83,88
84,230,Diva Elite 3K,65,92,79,89,95
84,,Diva Elite 3K,64,88,81,89,96
84,,King Cobra Elite 24K 2.0,89,78,89,80,83
84,130,Lethal Attack,85,84,95,76,80
84,80,Lethal Hybrid,73,86,96,82,84
84,95,Naya Classic Edition,65,85,99,86,86
84,130,Yarara Liquid Edition,85,93,74,84,85
84,,Yarara Radical 12K 2.0,83,85,79,83,89
84,115,Bela Team V2,74,80,89,86,91
84,200,Blade LS V3,64,77,95,92,90
84,,Brito Blade Elite Amarillo Negro,69,84,89,85,92
83,120,Adipower Greenpadel,72,81,85,92,86
83,240,Stima Energy,68,86,86,85,91
83,118,Hurricane 2.0,82,75,89,80,91
83,125,Hurricane Pro,84,84,78,80,89
83,130,Piton 10,75,84,90,79,85
83,100,Piton 11,85,89,81,78,84
83,130,Piton 12,80,89,80,78,86
83,,Piton 13,76,86,83,85,87
83,,Piton 9.0 Soft,75,86,92,79,83
83,154,Piton Air 12K,76,84,83,85,86
83,,Piton Epic,95,89,75,75,80
83,99,Special,85,84,92,74,80
83,,Special Magic,81,83,84,82,85
83,130,Special Soft,86,86,89,77,79
83,,Flow Woman 2025 Ale Salazar,74,80,93,85,81
83,135,Vertex 02 Carbon,82,84,84,79,86
83,170,Vertex 03 Comfort,74,80,97,81,85
83,245,Vertex 03 Comfort,75,82,94,81,85
83,120,Vertex 03 Woman,64,79,96,90,85
83,170,Vertex 04 Comfort,79,74,96,80,84
83,150,Vertex 04 Woman,74,77,94,86,85
83,89,Delta 3.0,70,91,89,81,86
83,290,Quantum 1.0,90,89,84,73,78
83,,Quantum 2.0,82,85,96,74,79
83,199,Quantum,90,90,80,75,81
83,199,Tacoma,83,90,87,79,78
83,120,Aero Star,89,81,82,83,80
83,120,Aero Star,91,79,81,87,79
83,175,Aero Star Lite,80,77,92,87,80
83,,Aero Star Pro,93,84,79,79,79
83,159,Aero Star Pro,94,84,79,80,80
83,95,Galactica,73,88,77,86,91
83,100,Galactica Team,63,88,85,86,91
83,,Galaxy Carbon,72,89,76,90,89
83,143,Combat Carbon 9.2,75,89,79,88,85
83,120,RSX Carbon,79,78,96,83,79
83,138,Spitfire 12K,81,86,86,79,85
83,,Spitfire,85,86,87,78,79
83,143,Spitfire,85,85,85,80,80
83,95,Delta Elite 2022,89,94,78,81,74
83,115,Delta Motion 2022,84,95,78,84,76
83,197,Gravity Motion,71,80,90,90,86
83,170,Gravity Pro,73,94,80,84,85
83,,Speed Team,72,80,96,84,81
83,,Tournament Flex Negro-Rojo,70,85,91,85,86
83,150,MS Pro,96,84,80,74,82
83,130,PR Control Carbon,74,87,75,91,89
83,130,Carb-on Flow,74,84,84,83,89
83,130,Carb-on Hype,89,86,83,75,80
83,107,Easy Flow,72,76,92,84,92
83,,Future Hybrid 12K Alum,90,79,76,84,84
83,245,LA10 Future,90,80,81,81,81
